district,state,category,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04
Bilaspur,Himachal Pradesh,deceased,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kinnaur,Himachal Pradesh,confirmed,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Kinnaur,Himachal Pradesh,recovered,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kinnaur,Himachal Pradesh,deceased,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kullu,Himachal Pradesh,confirmed,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2
Kullu,Himachal Pradesh,recovered,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Kullu,Himachal Pradesh,deceased,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lahaul and Spiti,Himachal Pradesh,confirmed,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lahaul and Spiti,Himachal Pradesh,recovered,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lahaul and Spiti,Himachal Pradesh,deceased,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anantnag,Jammu and Kashmir,confirmed,7,8,9,16,37,48,54,62,71,83,95,99,109,109,110,121,122,122,122,123,123,127,145,145,145,162,177,236,247,252,264,266,272,273,278,278,282,289,295,314,338,350,350,350,350
Anantnag,Jammu and Kashmir,recovered,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,12,12,17,23,26,28,35,61,87,89,89,109,109,109,109,113,118,120,120,122,122,124,126,152,152
Anantnag,Jammu and Kashmir,deceased,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5
Badgam,Jammu and Kashmir,confirmed,14,14,14,14,14,14,15,15,19,20,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Badgam,Jammu and Kashmir,recovered,0,0,0,9,9,9,9,9,9,10,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Badgam,Jammu and Kashmir,deceased,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandipore,Jammu and Kashmir,confirmed,91,97,99,108,116,124,127,127,127,127,128,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandipore,Jammu and Kashmir,recovered,0,2,2,22,22,23,24,24,24,24,35,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandipore,Jammu and Kashmir,deceased,0,0,0,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baramula,Jammu and Kashmir,confirmed,45,47,50,52,55,62,67,72,73,84,85,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baramula,Jammu and Kashmir,recovered,0,0,0,12,12,17,21,21,21,21,26,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baramula,Jammu and Kashmir,deceased,0,0,0,2,2,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ganderbal,Jammu and Kashmir,confirmed,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,16,19,23,23,23,23,23,23,23,23,23,24,25,25,27,27,27,27,27,31,31,31,31,32,32,34,34,37,37
Ganderbal,Jammu and Kashmir,recovered,0,0,0,2,2,2,5,5,5,5,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,24,24,24,24,24,24,24,24,24,24,26,26
Ganderbal,Jammu and Kashmir,deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu,Jammu and Kashmir,confirmed,26,26,26,26,26,26,26,26,26,26,26,26,26,27,27,29,31,31,31,32,35,35,38,38,39,39,45,47,47,67,68,68,72,78,99,109,113,121,128,130,136,144,157,167,167
Jammu,Jammu and Kashmir,recovered,0,0,0,5,7,14,15,18,23,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,27,27,29,31,31,31,31,34,34,34,36,36,37,37,39,41,41,41,41
Jammu,Jammu and Kashmir,deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2
Kathua,Jammu and Kashmir,confirmed,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,6,13,17,17,21,31,32,34,36,37,40,40,41,45,49,53,56,59,65,71,74,79,81,80,80
Kathua,Jammu and Kashmir,recovered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,6,6,6,15,16,16,19,19,20,25,27,27,27
Kathua,Jammu and Kashmir,deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kishtwar,Jammu and Kashmir,confirmed,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,5,6,6,7,7,7,7,7,7,7,7,7,11,11,12,12
Kishtwar,Jammu and Kashmir,recovered,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3
Kishtwar,Jammu and Kashmir,deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kulgam,Jammu and Kashmir,confirmed,6,6,6,6,6,6,6,6,7,11,11,11,11,11,11,12,12,20,21,31,42,69,72,72,72,119,147,159,166,171,192,193,198,224,227,228,255,255,274,278,295,301,312,313,313
Kulgam,Jammu and Kashmir,recovered,0,0,0,0,0,0,0,0,0,2,3,3,3,3,3,3,5,5,5,5,6,6,6,6,6,6,9,9,9,10,10,12,12,15,15,17,21,23,23,23,26,32,32,45,45
Kulgam,Jammu and Kashmir,deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,4,4,4,4,4,4,4,4,4,4
Kupwara,Jammu and Kashmir,confirmed,33,37,41,45,46,47,48,49,49,49,55,55,66,66,66,69,69,69,71,73,73,83,83,83,85,97,97,101,101,118,125,128,164,165,166,167,193,238,256,259,269,280,290,299,299
Kupwara,Jammu and Kashmir,recovered,0,0,0,6,6,8,9,9,19,19,19,21,23,23,30,31,31,33,33,42,43,45,45,45,48,48,48,48,48,48,48,49,70,70,70,70,70,70,74,74,75,75,76,76,76
Kupwara,Jammu and Kashmir,deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Pulwama,Jammu and Kashmir,confirmed,3,3,3,3,3,3,3,5,5,7,7,7,8,9,9,9,12,12,13,13,13,13,13,14,15,15,16,17,18,19,19,21,25,25,26,28,49,52,65,70,73,77,91,105,105
Pulwama,Jammu and Kashmir,recovered,0,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,6,6,6,9,9,9,10,10,10,12,12,12,12,13,13,13,13,13
Pulwama,Jammu and Kashmir,deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajouri,Jammu and Kashmir,confirmed,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,7,8,8,8,10,10,13,13,13,15,15,21,27,30,33,36,40,40
Rajouri,Jammu and Kashmir,recovered,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5
Rajouri,Jammu and Kashmir,deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Samba,Jammu and Kashmir,confirmed,4,4,4,4,4,4,4,4,4,4,4,6,7,7,7,7,7,7,7,7,7,11,11,11,11,11,13,13,14,16,16,20,20,27,27,29,32,32,34,41,42,43,44,48,48
Samba,Jammu and Kashmir,recovered,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,7,7,7,7,10,10,10,10,11,11,13,13,13,13
Samba,Jammu and Kashmir,deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shupiyan,Jammu and Kashmir,confirmed,32,46,55,60,63,63,68,71,71,72,74,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shupiyan,Jammu and Kashmir,recovered,0,4,4,11,11,11,13,13,13,13,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shupiyan,Jammu and Kashmir,deceased,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Srinagar,Jammu and Kashmir,confirmed,79,79,79,79,83,85,86,86,87,89,91,106,106,109,113,124,126,129,131,136,136,136,136,141,152,155,156,168,168,168,173,175,178,178,181,188,208,219,246,272,280,290,305,319,319
Srinagar,Jammu and Kashmir,recovered,0,3,3,27,28,37,50,50,51,68,69,69,70,75,75,76,76,76,76,76,76,81,84,84,84,84,96,96,96,97,97,99,119,125,125,126,126,126,128,131,141,141,141,143,143
Srinagar,Jammu and Kashmir,deceased,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,4,4,4,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7
Udhampur,Jammu and Kashmir,confirmed,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,21,22,22,22,22,22,22,22,23,24,24,25,26,28,33,33,33,33,35,37,39,50,51,52,65,65,67,69,72,72
Udhampur,Jammu and Kashmir,recovered,0,0,0,8,8,9,11,16,16,17,17,17,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,21,21,21,21,21,21,21,22,22,22,25,25,26,26,26,26
Udhampur,Jammu and Kashmir,deceased,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ramban,Jammu and Kashmir,confirmed,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,6,18,23,24,24,27,30,30,44,44,45,74,75,75,75,89,91,144,153,153,153
Ramban,Jammu and Kashmir,recovered,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,15,15,16,16,16,16
Ramban,Jammu and Kashmir,deceased,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reasi,Jammu and Kashmir,confirmed,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,4,4,4,4,4,6,9,12,13,13,14,14,14,14,14,14
Reasi,Jammu and Kashmir,recovered,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3
Reasi,Jammu and Kashmir,deceased,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Budgam,Jammu and Kashmir,confirmed,,,,,,,,,,,,,26,30,30,30,31,46,46,46,46,46,53,53,53,58,58,59,59,59,63,64,64,64,64,76,78,89,89,99,110,110,118,124,124
Budgam,Jammu and Kashmir,recovered,,,,,,,,,,,,,12,12,12,12,12,13,13,13,14,14,14,18,21,28,28,30,30,30,30,35,35,47,47,47,51,51,52,61,61,61,61,67,67
Budgam,Jammu and Kashmir,deceased,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Bandipora,Jammu and Kashmir,confirmed,,,,,,,,,,,,,128,130,132,132,134,134,134,134,134,134,134,134,135,135,135,137,137,138,138,139,140,140,140,144,146,146,146,147,147,147,152,161,161
Bandipora,Jammu and Kashmir,recovered,,,,,,,,,,,,,55,61,62,62,63,75,75,75,107,107,108,117,122,125,125,128,128,128,128,129,129,129,129,131,132,132,132,134,134,134,134,136,136
Bandipora,Jammu and Kashmir,deceased,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Baramulla,Jammu and Kashmir,confirmed,,,,,,,,,,,,,91,103,104,104,105,106,106,108,109,109,110,110,116,118,118,119,121,129,129,132,136,137,137,143,153,169,177,217,232,238,245,272,272
Baramulla,Jammu and Kashmir,recovered,,,,,,,,,,,,,34,39,42,42,42,42,45,45,45,57,57,57,67,80,80,81,91,91,91,91,98,98,98,98,98,98,102,102,103,103,103,104,104
Baramulla,Jammu and Kashmir,deceased,,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,6,7,7
Shopiyan,Jammu and Kashmir,confirmed,,,,,,,,,,,,,81,83,89,94,98,98,100,103,103,104,105,107,107,107,108,109,109,109,109,127,127,128,129,129,141,149,150,166,168,173,180,205,205
Shopiyan,Jammu and Kashmir,recovered,,,,,,,,,,,,,19,19,25,25,34,47,47,51,51,60,60,60,63,64,75,75,75,98,98,102,106,107,107,107,107,107,107,108,108,108,108,109,109
Shopiyan,Jammu and Kashmir,deceased,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,3
Doda,Jammu and Kashmir,confirmed,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,5,5,26,27,27,27
Doda,Jammu and Kashmir,recovered,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Doda,Jammu and Kashmir,deceased,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Mirpur,Jammu and Kashmir,confirmed,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mirpur,Jammu and Kashmir,recovered,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mirpur,Jammu and Kashmir,deceased,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muzaffarabad,Jammu and Kashmir,confirmed,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muzaffarabad,Jammu and Kashmir,recovered,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muzaffarabad,Jammu and Kashmir,deceased,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punch,Jammu and Kashmir,confirmed,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,3,3,4,4,5,6,6,8,12,23,24,38,38,38,40,49,59,59
Punch,Jammu and Kashmir,recovered,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Punch,Jammu and Kashmir,deceased,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bokaro,Jharkhand,confirmed,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,15,15,15,17,17,17,17,22,22,22,22,23,24,24
Bokaro,Jharkhand,recovered,0,0,0,0,0,4,4,4,4,4,6,6,6,6,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,14,14,14,14,14,15,15
Bokaro,Jharkhand,deceased,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Deoghar,Jharkhand,confirmed,1,1,1,1,1,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Deoghar,Jharkhand,recovered,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5
Deoghar,Jharkhand,deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dhanbad,Jharkhand,confirmed,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,4,4,4,4,4,5,5,5,6,6,6,7,7,7,7,7,8,11,11,17,17,30,53,61,70,70
Dhanbad,Jharkhand,recovered,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,10,10,10
Dhanbad,Jharkhand,deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Giridih,Jharkhand,confirmed,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,6,7,10,10,10,10,10,10,12,16,16,16,16,16,16,16,16,17,17,17,17,18,21,21
Giridih,Jharkhand,recovered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,11,11,11
Giridih,Jharkhand,deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Hazaribagh,Jharkhand,confirmed,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,10,10,12,21,24,25,26,32,33,33,33,41,45,45,45,53,53,65,69,72,72,80,83,83
Hazaribagh,Jharkhand,recovered,0,0,0,0,0,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,8,8,20,20,20,20,35,35,35
Hazaribagh,Jharkhand,deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kodarma,Jharkhand,confirmed,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kodarma,Jharkhand,recovered,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kodarma,Jharkhand,deceased,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranchi,Jharkhand,confirmed,25,25,29,29,30,55,75,77,78,81,83,83,83,83,91,93,93,93,93,93,94,95,96,102,102,103,104,104,105,105,112,112,114,115,125,126,126,130,129,129,130,130,138,139,139
Ranchi,Jharkhand,recovered,0,0,0,0,0,6,10,10,10,10,10,10,13,13,18,18,18,18,53,53,53,54,61,61,71,83,83,89,89,91,91,91,95,100,100,100,100,100,101,106,106,106,113,113,113
Ranchi,Jharkhand,deceased,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Simdega,Jharkhand,confirmed,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,7,7,7,7,10,10,10,14,14,14,16,24,24
Simdega,Jharkhand,recovered,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Simdega,Jharkhand,deceased,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palamu,Jharkhand,confirmed,,,,,3,3,3,3,3,3,3,3,3,3,3,3,8,8,8,8,8,8,8,15,15,15,15,15,15,15,15,15,15,15,15,16,17,17,17,18,18,18,19,25,25
Palamu,Jharkhand,recovered,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,8,8,8,15,15,15,15,15,15,15,15,15,15,15,15,16,16,16
Palamu,Jharkhand,deceased,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garhwa,Jharkhand,confirmed,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,23,23,23,23,23,27,28,28,29,29,47,47,47,47,50,52,55,55,55,57,59,59,59,62,62,62
Garhwa,Jharkhand,recovered,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,35,48,48,48,48,48,48
Garhwa,Jharkhand,deceased,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamtara,Jharkhand,confirmed,,,,,,,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Jamtara,Jharkhand,recovered,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Jamtara,Jharkhand,deceased,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Godda,Jharkhand,confirmed,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Godda,Jharkhand,recovered,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Godda,Jharkhand,deceased,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Koderma,Jharkhand,confirmed,,,,,,,,,,,,1,1,1,1,1,1,1,1,3,3,3,4,6,6,6,6,6,9,14,16,16,26,29,29,31,31,31,41,41,41,41,45,46,46
Koderma,Jharkhand,recovered,,,,,,,,,,,,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,25,25,25,25,25,25
Koderma,Jharkhand,deceased,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Dumka,Jharkhand,confirmed,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4
Dumka,Jharkhand,recovered,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Dumka,Jharkhand,deceased,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chatra,Jharkhand,confirmed,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1
Chatra,Jharkhand,recovered,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Chatra,Jharkhand,deceased,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Singhbhum,Jharkhand,confirmed,,,,,,,,,,,,,,,,,,,,,,,1,3,3,4,4,5,6,11,16,16,20,24,25,25,28,28,52,80,106,106,119,123,123
East Singhbhum,Jharkhand,recovered,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
East Singhbhum,Jharkhand,deceased,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gumla,Jharkhand,confirmed,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,2,3,3,3,10,10,10,10,11,13,20,21,21,21,22,23,23
Gumla,Jharkhand,recovered,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
